==PROF== Connected to process 3819587 (/home/wangziyang/cuda-code/cutlass/examples/00_self_gemm/self_gemm_template.out)
Detected GPU: NVIDIA A100-PCIE-40GB (SM 8.0)
Running warm-up...
Cutlass GEMM time: 181.561 ms
Cutlass GEMM Performance: 94622.9 GFLOPS
Cublas GEMM time: 276.617 ms
Cublas GEMM Performance: 62107 GFLOPS
All results match within tolerance (abs=0.001, rel=0.01)
Passed.
==PROF== Disconnected from process 3819587
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","823,404,288"
"0","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","byte","838,860,800"
"0","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","byte","1,937,900,416"
"0","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","1,708,634.20"
"0","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","765,001,631.38"
"0","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"1","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","823,402,880"
"1","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","byte","838,860,800"
"1","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","byte","1,980,209,088"
"1","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","1,708,616.37"
"1","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","764,982,686.81"
"1","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<__half, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","sm__inst_executed_pipe_tensor.sum","inst","0"
"2","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<float, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum","byte","1,661,805,312"
"2","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<float, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","l1tex__t_bytes.sum","byte","1,677,721,600"
"2","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<float, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","lts__t_bytes.sum","byte","3,551,504,608"
"2","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<float, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","1,709,310.11"
"2","3819587","self_gemm_template.out","127.0.0.1","void InitializeMatrix_kernel<float, (bool)1>(T1 *, int, int, int)","1","7","(16, 16, 1)","(1280, 1280, 1)","0","8.0","Command line profiler metrics","sm__cycles_elapsed.avg.per_second","cycle/second","764,975,453.22"
